[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   0 ,  497 431 833] high freq  497500   199
[   0 ,  499 932 128] high freq  500000   200
[   0 ,  499 955 580] 时隙: 0-------------------------------------------------------------------------------
[   0 ,  502 603 988] high freq  502500   201
[   0 ,  505  93 558] high freq  505000   202
[   0 ,  507 593 248] high freq  507500   203
[   0 ,  510  92 600] high freq  510000   204
[   0 ,  512 595 775] high freq  512500   205
[   0 ,  515  89  73] high freq  515000   206
[   0 ,  517 587 980] high freq  517500   207
[   0 ,  520  90 638] high freq  520000   208
[   0 ,  520 115 510] 时隙: 1-------------------------------------------------------------------------------
[   0 ,  520 263  20] NODE  3 收到网管节点飞行状态信息
[   0 ,  520 333 293] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,  522 605 690] high freq  522500   209
[   0 ,  525  94 358] high freq  525000   210
[   0 ,  527 592 345] high freq  527500   211
[   0 ,  530  92 575] high freq  530000   212
[   0 ,  532 596 748] high freq  532500   213
[   0 ,  535  88 868] high freq  535000   214
[   0 ,  537 588 230] high freq  537500   215
[   0 ,  540  88 638] high freq  540000   216
[   0 ,  540 113   8] 时隙: 2-------------------------------------------------------------------------------
[   0 ,  540 276 483] NODE  3 收到普通节点飞行状态信息
[   0 ,  540 339 290] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,  542 605 330] high freq  542500   217
[   0 ,  545  93 835] high freq  545000   218
[   0 ,  547 592 795] high freq  547500   219
[   0 ,  550  93  35] high freq  550000   220
[   0 ,  552 596 395] high freq  552500   221
[   0 ,  555  88 560] high freq  555000   222
[   0 ,  557 588 220] high freq  557500   223
[   0 ,  560  88 200] high freq  560000   224
[   0 ,  560 113 315] 时隙: 3-------------------------------------------------------------------------------
[   0 ,  560 240 945] NODE  3 发送飞行状态信息
[   0 ,  562 604   3] high freq  562500   225
[   0 ,  565  93 565] high freq  565000   226
[   0 ,  567 593 770] high freq  567500   227
[   0 ,  570  94 763] high freq  570000   228
[   0 ,  572 596 700] high freq  572500   229
[   0 ,  575  89  55] high freq  575000   230
[   0 ,  577 588 673] high freq  577500   231
[   0 ,  580  88 470] high freq  580000   232
[   0 ,  580 113  43] 时隙: 4-------------------------------------------------------------------------------
[   0 ,  582 603 783] high freq  582500   233
[   0 ,  585  93 745] high freq  585000   234
[   0 ,  587 592 343] high freq  587500   235
[   0 ,  590  93 195] high freq  590000   236
[   0 ,  592 596 115] high freq  592500   237
[   0 ,  595  88 535] high freq  595000   238
[   0 ,  597 588 860] high freq  597500   239
[   0 ,  600  88 253] high freq  600000   240
[   0 ,  600 111 453] 时隙: 5-------------------------------------------------------------------------------
[   0 ,  602 602 845] high freq  602500   241
[   0 ,  605  93 575] high freq  605000   242
[   0 ,  607 592 945] high freq  607500   243
[   0 ,  610  92 978] high freq  610000   244
[   0 ,  612 596 348] high freq  612500   245
[   0 ,  615  88 918] high freq  615000   246
[   0 ,  617 588 275] high freq  617500   247
[   0 ,  620  92 808] high freq  620000   248
[   0 ,  620 117 250] 时隙: 6-------------------------------------------------------------------------------
[   0 ,  622 602 875] high freq  622500   249
[   0 ,  625  93 498] high freq  625000   250
[   0 ,  627 592 875] high freq  627500   251
[   0 ,  630  92 583] high freq  630000   252
[   0 ,  632 596 458] high freq  632500   253
[   0 ,  635  88 860] high freq  635000   254
[   0 ,  637 587 793] high freq  637500   255
[   0 ,  640  88 643] high freq  640000   256
[   0 ,  640 270 443] 时隙: 7-------------------------------------------------------------------------------
[   0 ,  642 604 893] high freq  642500   257
[   0 ,  645  95 975] high freq  645000   258
[   0 ,  647 594 928] high freq  647500   259
[   0 ,  650  92 695] high freq  650000   260
[   0 ,  652 596 415] high freq  652500   261
[   0 ,  655  91 918] high freq  655000   262
[   0 ,  657 592 355] high freq  657500   263
[   0 ,  660  91  45] high freq  660000   264
